HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
1029	494	San	Namibia	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1029	494	San	0.976	0.012	0.001	0.008	0.003
1030	430	BantuSouthAfrica	BotswanaOrNamibia	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1030	435	Tswana	NA	NA	NA	NA	NA
1031	430	BantuSouthAfrica	Angola	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1031	432	Ovambo	NA	NA	NA	NA	NA
1032	494	San	Namibia	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1032	494	San	0.988	0.009	0.001	0.001	0.001
1033	430	BantuSouthAfrica	SouthAfrica	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1033	436	Zulu	NA	NA	NA	NA	NA
1034	430	BantuSouthAfrica	BotswanaOrNamibia	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1034	435	Tswana	NA	NA	NA	NA	NA
1035	430	BantuSouthAfrica	BotswanaOrNamibia	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1035	431	Herero	NA	NA	NA	NA	NA
1036	494	San	Namibia	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1036	494	San	0.99	0.006	0.001	0.002	0.001
1037	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1037	87	Pima	0.004	0.02	0.049	0.001	0.925
1038	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1038	87	Pima	0.001	0.002	0.001	0.001	0.996
1039	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1039	87	Pima	0.001	0.003	0.016	0.002	0.978
1040	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1040	87	Pima	0.001	0.005	0.012	0.001	0.981
1041	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	1	1	1041	87	Pima	0	0.002	0.139	0.004	0.855
1042	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1042	87	Pima	0.001	0.001	0.038	0.022	0.938
1043	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1043	87	Pima	0.001	0.001	0.005	0.002	0.992
1044	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	1	1	1044	87	Pima	0.001	0.001	0.004	0.001	0.994
1045	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1045	87	Pima	0	0.001	0.004	0	0.994
1046	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1046	87	Pima	0	0.001	0.002	0.001	0.996
1047	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1047	87	Pima	0.001	0.003	0.115	0.001	0.881
1048	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1048	87	Pima	0.001	0.004	0.003	0.002	0.99
1049	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1049	87	Pima	0	0.001	0.014	0.001	0.983
1050	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1050	87	Pima	0	0.001	0.001	0.001	0.997
1051	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1051	87	Pima	0.006	0.096	0.1	0.002	0.796
1052	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1052	87	Pima	0.001	0.021	0.006	0.003	0.968
1053	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	1	0	0	1	1	1053	87	Pima	0	0.005	0.127	0.006	0.862
1054	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1054	87	Pima	0	0.002	0.151	0.001	0.846
1055	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1055	87	Pima	0.001	0.032	0.164	0.002	0.801
1056	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1056	87	Pima	0.001	0.004	0.013	0.053	0.93
1057	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1057	87	Pima	0.001	0.001	0.172	0.001	0.825
1058	87	Pima	Mexico	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1058	87	Pima	0.001	0.035	0.052	0.01	0.901
1059	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1059	87	Pima	0.001	0.003	0.135	0.018	0.843
1060	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	0	1	1	1060	87	Pima	0.001	0.007	0.261	0.002	0.73
1061	87	Pima	Mexico	AMERICA	m	1	1	1	1	1	0	0	0	0	0	1061	87	Pima	0.001	0.001	0.287	0.001	0.709
1062	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1062	28	Sardinian	0.001	0.992	0.004	0.002	0.001
1063	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1063	28	Sardinian	0.001	0.995	0.001	0.002	0.001
1064	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1064	28	Sardinian	0.01	0.983	0.003	0.001	0.002
1065	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1065	28	Sardinian	0.026	0.962	0.009	0.002	0.001
1066	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1066	28	Sardinian	0.002	0.99	0.002	0.002	0.004
1067	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1067	28	Sardinian	0.004	0.99	0.001	0.002	0.002
1068	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1068	28	Sardinian	0.005	0.98	0.005	0.002	0.008
1069	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1069	28	Sardinian	0.002	0.995	0.001	0.001	0.001
1070	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1070	28	Sardinian	0.005	0.992	0.001	0.001	0.001
1071	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1071	28	Sardinian	0.003	0.973	0.018	0.002	0.004
1072	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1072	28	Sardinian	0.001	0.992	0.002	0.001	0.004
1073	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1073	28	Sardinian	0.002	0.992	0.002	0.002	0.002
1074	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1074	28	Sardinian	0.001	0.997	0.001	0.001	0.001
1075	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1075	28	Sardinian	0.003	0.988	0.005	0.003	0.001
1076	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1076	28	Sardinian	0.001	0.995	0.001	0.001	0.001
1077	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1077	28	Sardinian	0.001	0.989	0.007	0.001	0.001
1078	28	Sardinian	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1078	28	Sardinian	0.005	0.986	0.007	0.001	0.001
1079	28	Sardinian	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1079	28	Sardinian	0.002	0.995	0.001	0.001	0.001
1081	489	MbutiPygmy	Congo	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1081	489	MbutiPygmy	0.989	0.003	0.002	0.003	0.004
1084	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	f	1	1	1	1	1	0	0	0	1	0	1084	488	BiakaPygmy	0.997	0.001	0.001	0.001	0.001
1085	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	f	1	1	1	1	1	1	0	0	1	0	1085	488	BiakaPygmy	0.997	0.001	0.001	0.001	0
1086	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1086	488	BiakaPygmy	0.993	0.002	0.002	0.002	0.001
1087	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	0	0	NA	NA	NA	0	0	452	488	BiakaPygmy	0.997	0.001	0.001	0.001	0.001
1088	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	0	0	0	0	0	1088	488	BiakaPygmy	0.996	0.002	0.001	0.001	0.001
1089	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	0	0	1	0	0	1089	488	BiakaPygmy	0.996	0.001	0.001	0.001	0.001
1090	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1090	488	BiakaPygmy	0.998	0	0.001	0	0
1091	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	1	0	0	1	0	1091	488	BiakaPygmy	0.994	0.001	0.001	0.003	0.001
1092	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	0	0	NA	NA	NA	0	0	457	488	BiakaPygmy	0.998	0	0.001	0.001	0
1093	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	0	0	1	0	0	1093	488	BiakaPygmy	0.998	0.001	0.001	0.001	0
1094	488	BiakaPygmy	CentralAfricanRepublic	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1094	488	BiakaPygmy	0.979	0.017	0.001	0.002	0.001
1095	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1095	616	Tujia	0.001	0.001	0.992	0.001	0.005
1096	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1096	616	Tujia	0.002	0.008	0.969	0.019	0.002
1097	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1097	616	Tujia	0.001	0.001	0.99	0.007	0.002
1098	616	Tujia	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1098	616	Tujia	0.001	0.004	0.982	0.008	0.005
1099	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1099	616	Tujia	0.002	0.003	0.976	0.002	0.018
