SID,PID,Source,Permission
CN-UG-000052-1-01,718,HUGO,Private
CN-UG-000053-1-01,718,HUGO,Private
CN-UG-000054-1-01,718,HUGO,Private
CN-UG-000058-1-01,718,HUGO,Private
CN-UG-000075-1-01,718,HUGO,Private
CN-UG-000077-1-01,718,HUGO,Private
CN-UG-000078-1-01,718,HUGO,Private
CN-WA-000001-1-01,719,HUGO,Private
CN-WA-000002-1-01,719,HUGO,Private
CN-WA-000003-1-01,719,HUGO,Private
CN-WA-000005-1-01,719,HUGO,Private
CN-WA-000011-1-01,719,HUGO,Private
CN-WA-000015-1-01,719,HUGO,Private
CN-WA-000020-1-01,719,HUGO,Private
CN-WA-000023-1-01,719,HUGO,Private
CN-WA-000027-1-01,719,HUGO,Private
CN-WA-000029-1-01,719,HUGO,Private
CN-WA-000030-1-01,719,HUGO,Private
CN-WA-000033-1-01,719,HUGO,Private
CN-WA-000036-1-01,719,HUGO,Private
CN-WA-000037-1-01,719,HUGO,Private
CN-WA-000038-1-01,719,HUGO,Private
CN-WA-000039-1-01,719,HUGO,Private
CN-WA-000042-1-01,719,HUGO,Private
CN-WA-000044-1-01,719,HUGO,Private
CN-WA-000047-1-01,719,HUGO,Private
CN-WA-000048-1-01,719,HUGO,Private
CN-WA-000049-1-01,719,HUGO,Private
CN-WA-000050-1-01,719,HUGO,Private
CN-WA-000051-1-01,719,HUGO,Private
CN-WA-000052-1-01,719,HUGO,Private
CN-WA-000055-1-01,719,HUGO,Private
CN-WA-000056-1-01,719,HUGO,Private
CN-SH-000002-1-01,717,HUGO,Private
CN-SH-000005-1-01,717,HUGO,Private
CN-SH-000008-1-01,717,HUGO,Private
CN-SH-000013-1-01,717,HUGO,Private
CN-SH-000014-1-01,717,HUGO,Private
CN-SH-000015-1-01,717,HUGO,Private
CN-SH-000017-1-01,717,HUGO,Private
CN-SH-000022-1-01,717,HUGO,Private
CN-SH-000023-1-01,717,HUGO,Private
CN-SH-000024-1-01,717,HUGO,Private
CN-SH-000025-1-01,717,HUGO,Private
CN-SH-000026-1-01,717,HUGO,Private
CN-SH-000027-1-01,717,HUGO,Private
CN-SH-000028-1-01,717,HUGO,Private
CN-SH-000029-1-01,717,HUGO,Private
CN-SH-000031-1-01,717,HUGO,Private
CN-SH-000033-1-01,717,HUGO,Private
CN-SH-000034-1-01,717,HUGO,Private
CN-SH-000035-1-01,717,HUGO,Private
CN-SH-000039-1-01,717,HUGO,Private
CN-SH-000043-1-01,717,HUGO,Private
IN-DR-000001-1-01,736,HUGO,Private
IN-DR-000046-1-01,736,HUGO,Private
IN-DR-000068-1-01,736,HUGO,Private
IN-DR-000211-1-01,736,HUGO,Private
IN-DR-000212-1-01,736,HUGO,Private
IN-DR-000244-1-01,736,HUGO,Private
IN-DR-000248-1-01,736,HUGO,Private
IN-DR-000249-1-01,736,HUGO,Private
IN-DR-000250-1-01,736,HUGO,Private
IN-DR-000251-1-01,736,HUGO,Private
IN-DR-000255-1-01,736,HUGO,Private
IN-DR-000260-1-01,736,HUGO,Private
IN-DR-000262-1-01,736,HUGO,Private
IN-DR-000263-1-01,736,HUGO,Private
IN-DR-000266-1-01,736,HUGO,Private
IN-DR-000267-1-01,736,HUGO,Private
IN-DR-000270-1-01,736,HUGO,Private
IN-DR-000271-1-01,736,HUGO,Private
IN-DR-000335-1-01,736,HUGO,Private
IN-DR-000616-1-01,736,HUGO,Private
IN-DR-000676-1-01,736,HUGO,Private
IN-DR-000678-1-01,736,HUGO,Private
IN-DR-000679-1-01,736,HUGO,Private
IN-DR-000685-1-01,736,HUGO,Private
IN-EL-000553-1-01,738,HUGO,Private
IN-EL-006624-1-01,738,HUGO,Private
IN-EL-006632-1-01,738,HUGO,Private
IN-EL-006633-1-01,738,HUGO,Private
IN-EL-006636-1-01,738,HUGO,Private
IN-EL-006638-1-01,738,HUGO,Private
IN-EL-006640-1-01,738,HUGO,Private
IN-EL-006641-1-01,738,HUGO,Private
IN-EL-006643-1-01,738,HUGO,Private
IN-EL-006644-1-01,738,HUGO,Private
IN-EL-006647-1-01,738,HUGO,Private
IN-EL-006648-1-01,738,HUGO,Private
IN-EL-006649-1-01,738,HUGO,Private
IN-EL-006653-1-01,738,HUGO,Private
IN-EL-006656-1-01,738,HUGO,Private
IN-EL-006662-1-01,738,HUGO,Private
IN-IL-002623-1-01,739,HUGO,Private
IN-IL-002625-1-01,739,HUGO,Private
IN-IL-002626-1-01,739,HUGO,Private
IN-IL-002627-1-01,739,HUGO,Private
IN-IL-002633-1-01,739,HUGO,Private
IN-IL-002638-1-01,739,HUGO,Private
IN-IL-002639-1-01,739,HUGO,Private
IN-IL-002644-1-01,739,HUGO,Private
IN-IL-002652-1-01,739,HUGO,Private
IN-IL-002655-1-01,739,HUGO,Private
IN-IL-002657-1-01,739,HUGO,Private
IN-IL-002658-1-01,739,HUGO,Private
IN-IL-002664-1-01,739,HUGO,Private
IN-IL-002674-1-01,739,HUGO,Private
IN-IL-002683-1-01,739,HUGO,Private
IN-NI-000005-1-01,740,HUGO,Private
IN-NI-000773-1-01,740,HUGO,Private
IN-NI-000777-1-01,740,HUGO,Private
IN-NI-000778-1-01,740,HUGO,Private
IN-NI-000780-1-01,740,HUGO,Private
IN-NI-000785-1-01,740,HUGO,Private
IN-NI-000786-1-01,740,HUGO,Private
IN-NI-000787-1-01,740,HUGO,Private
IN-NI-000788-1-01,740,HUGO,Private
IN-NI-000789-1-01,740,HUGO,Private
IN-NI-000793-1-01,740,HUGO,Private
IN-NI-000799-1-01,740,HUGO,Private
IN-NI-000800-1-01,740,HUGO,Private
IN-NI-000801-1-01,740,HUGO,Private
IN-NI-000802-1-01,740,HUGO,Private
IN-NI-000820-1-01,740,HUGO,Private
IN-NI-000849-1-01,740,HUGO,Private
IN-NI-000850-1-01,740,HUGO,Private
IN-NI-000852-1-01,740,HUGO,Private
IN-NI-000869-1-01,740,HUGO,Private
IN-NL-006216-1-01,741,HUGO,Private
IN-NL-006217-1-01,741,HUGO,Private
IN-NL-006219-1-01,741,HUGO,Private
IN-NL-006221-1-01,741,HUGO,Private
IN-NL-006224-1-01,741,HUGO,Private
IN-NL-006225-1-01,741,HUGO,Private
IN-NL-006228-1-01,741,HUGO,Private
IN-NL-006231-1-01,741,HUGO,Private
IN-NL-006234-1-01,741,HUGO,Private
IN-NL-006235-1-01,741,HUGO,Private
IN-NL-006236-1-01,741,HUGO,Private
IN-NL-006237-1-01,741,HUGO,Private
IN-NL-006238-1-01,741,HUGO,Private
IN-NL-006242-1-01,741,HUGO,Private
IN-NL-006244-1-01,741,HUGO,Private
IN-SP-000275-1-01,742,HUGO,Private
